method,k,n_samples,cluster_sizes,full_feature_silhouette,method_space_silhouette,calinski_harabasz_full,davies_bouldin_full,stability_nmi,stability_ari,consensus_stability,cluster_balance,os_logrank_p,pfi_logrank_p,dss_logrank_p,dfi_logrank_p,clinical_score_os_pfi,notes,n_boundary_samples_from_latent,boundary_samples_from_latent,beats_baseline_core,core_gain_score,mask_key
innovation_v3_candidate,2,364,151;213,0.05271537910516318,0.1375528791396367,23.221826076803183,3.7674074932282755,0.848509160449293,0.906367166964169,0.877438163706731,0.7089201877934272,0.0013955544108363938,0.024030800721977583,0.0017331967120996264,0.2869936600918702,2.2372424921260485,candidate_boundary_refinement,0,,False,0.5705291487281079,000000
innovation_v3_candidate,2,364,152;212,0.053027935267856624,0.13771794238772916,23.198038064037544,3.775137617558863,0.8542486062182151,0.9098640671759869,0.882056336697101,0.7169811320754716,0.001915185501501946,0.019933654357220987,0.0016044951334446712,0.28133077900487136,2.2091011155929947,candidate_boundary_refinement,3,TCGA-CG-4441-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5694518822137296,010011
innovation_v3_candidate,2,364,152;212,0.05255256122628856,0.13731559319784467,23.19702855328735,3.772947894419245,0.8549148131525113,0.9103693601569751,0.8826420866547432,0.7169811320754716,0.001915185501501946,0.019933654357220987,0.0016044951334446712,0.28133077900487136,2.2091011155929947,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-HU-A4H6-01,False,0.5694366434720233,110001
innovation_v3_candidate,2,364,150;214,0.05276124114611463,0.13786800290767132,23.196677508553776,3.765952853343897,0.869974156991863,0.9199169854918955,0.8949455712418792,0.7009345794392523,0.0014524285090575944,0.02666605793844341,0.0017867820815324164,0.2983825398158505,2.205973208360931,candidate_boundary_refinement,3,TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.569236161130158,000111
innovation_v3_candidate,2,364,150;214,0.05224853131201302,0.13742150451584695,23.196339380627585,3.76355099793828,0.8708457126938848,0.920400080597671,0.8956228966457779,0.7009345794392523,0.0014524285090575944,0.02666605793844341,0.0017867820815324164,0.2983825398158505,2.205973208360931,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.569227082862626,100101
innovation_v3_candidate,2,364,152;212,0.05267335077663276,0.1375897924422507,23.200086408850353,3.7732194539691686,0.8619319950681593,0.9139161939239951,0.8879240944960772,0.7169811320754716,0.002104490209029096,0.020200685601649726,0.0017224552569804577,0.3042790056154726,2.185743490493316,candidate_boundary_refinement,3,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01,False,0.5678257030009328,011100
innovation_v3_candidate,2,364,152;212,0.052771977339578856,0.13750062631840382,23.223519078895634,3.7714134216781012,0.8513257140492568,0.9077367541847939,0.8795312341170254,0.7169811320754716,0.002114896199910248,0.020394311454101397,0.0017331967120996264,0.2869936600918702,2.1826009478725394,candidate_boundary_refinement,1,TCGA-CG-4441-01,False,0.5657837979454312,010000
innovation_v3_candidate,2,364,150;214,0.05246825935138643,0.13760020397046446,23.218579691166926,3.762410682304919,0.8667733204221556,0.9177672564763274,0.8922702884492415,0.7009345794392523,0.0016075845361771283,0.02725970740920513,0.0019289288942456444,0.3042790056154726,2.179152495010298,candidate_boundary_refinement,1,TCGA-D7-6822-01,False,0.5654876524090244,000100
innovation_v3_candidate,2,364,151;213,0.052308833085567476,0.13736935634230796,23.197015212332744,3.767796167281371,0.873527116710111,0.9218070603623592,0.897667088536235,0.7089201877934272,0.0021991132524711524,0.022683100183282182,0.0017867820815324164,0.2983825398158505,2.151024996676415,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.56442548533679,110101
innovation_v3_candidate,2,364,151;213,0.052798916184279385,0.13778326078299247,23.19751517590654,3.7701076849955806,0.8725530003659004,0.9213018150449642,0.8969274077054323,0.7089201877934272,0.0021991132524711524,0.022683100183282182,0.0017867820815324164,0.2983825398158505,2.151024996676415,candidate_boundary_refinement,4,TCGA-CG-4441-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5644139090881193,010111
innovation_v3_candidate,2,364,151;213,0.05270717461214906,0.1374823953927083,23.18514382318144,3.770850942365428,0.8418799403925448,0.9019586373301045,0.8719192888613246,0.7089201877934272,0.0015962777252100364,0.026763899750215463,0.001963053539781384,0.3182617208911162,2.1846710760394275,candidate_boundary_refinement,2,TCGA-D7-5578-01;TCGA-HU-A4H6-01,False,0.5632808614388018,001001
innovation_v3_candidate,2,364,151;213,0.05251784291809208,0.1375285598878509,23.217770456305583,3.766752258192608,0.8692609836564101,0.919145785032528,0.894203384344469,0.7089201877934272,0.002425866347766156,0.023198852236415962,0.0019289288942456444,0.3042790056154726,2.1248333157063017,candidate_boundary_refinement,2,TCGA-CG-4441-01;TCGA-D7-6822-01,False,0.5607327784548369,010100
innovation_v3_candidate,2,364,152;212,0.052768340392514025,0.1374353052799799,23.190193973331986,3.774569786545137,0.8449200942560412,0.9033254242915351,0.8741227592737881,0.7169811320754716,0.0024085011518270158,0.02276642353495552,0.001963053539781384,0.3182617208911162,2.130479165336185,candidate_boundary_refinement,3,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-HU-A4H6-01,False,0.5586115014906328,011001
innovation_v3_candidate,2,364,150;214,0.05247967216077138,0.1375673321052233,23.18874476857483,3.76531463373883,0.8596940367875555,0.9133394797090403,0.8865167582482979,0.7009345794392523,0.0018362381090316047,0.030306903757013528,0.0021825763677142556,0.33677479566255053,2.1272647168694347,candidate_boundary_refinement,3,TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.5582805962407695,001101
innovation_v3_candidate,2,364,150;214,0.05255997595668584,0.13743415008487014,23.20362747819486,3.7642107937942084,0.8489017965166827,0.9071913228110808,0.8780465596638818,0.7009345794392523,0.001845384900499224,0.03058141389072309,0.0021959060239247945,0.3182617208911162,2.1242277383377735,candidate_boundary_refinement,1,TCGA-HU-A4H6-01,False,0.556226445486356,000001
innovation_v3_candidate,2,364,151;213,0.05253375943729931,0.13750076006537487,23.191288385834113,3.769369803961573,0.8624286742108404,0.9147152257796981,0.8885719499952692,0.7089201877934272,0.0027587686275932785,0.025851592036243057,0.0021825763677142556,0.33677479566255053,2.0733987138479524,candidate_boundary_refinement,4,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.5536044427027828,011101
innovation_v3_candidate,2,364,151;213,0.05261156695676157,0.13736809144924997,23.205659564542074,3.768301671734401,0.8512808946541769,0.9085324615237071,0.879906678088942,0.7089201877934272,0.00277208714445152,0.026091213273590298,0.0021959060239247945,0.3182617208911162,2.07034942319505,candidate_boundary_refinement,2,TCGA-CG-4441-01;TCGA-HU-A4H6-01,False,0.5515095133422018,010001
innovation_v3_candidate,2,364,149;215,0.052325102470495335,0.13751051298883926,23.205987607083678,3.75861326935044,0.8680398266335771,0.9186048030775797,0.8933223148555784,0.6930232558139535,0.002119109476602446,0.03454927001879115,0.002438715968607943,0.33677479566255053,2.067703865314874,candidate_boundary_refinement,2,TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.5514735571769941,000101
innovation_v3_candidate,2,364,150;214,0.05236964188246039,0.13742495042595226,23.20550351364388,3.7630410490945323,0.8700619877401544,0.9199548501642932,0.8950084189522238,0.7009345794392523,0.0031697363373405767,0.029557341709454572,0.002438715968607943,0.33677479566255053,2.014155744493215,candidate_boundary_refinement,3,TCGA-CG-4441-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.5467453433247014,010101
